圏域,カード種別,【入場】圏域,【入場】事業者名,【入場】路線名,【入場】駅名,【入場】都道府県,【入場】市町村区,【入場】時間帯,【出場】圏域,【出場】事業者名,【出場】路線名,【出場】駅名,【出場】都道府県,【出場】市町村区,所要時間（５分単位）,人数
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,日比谷,東京都,千代田区,17,1.首都圏,東京地下鉄,千代田線,明治神宮前,東京都,渋谷区,30,4
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,16,1.首都圏,東京地下鉄,銀座線,新橋,東京都,港区,50,1
1.首都圏,Suica,1.首都圏,東京地下鉄,南北線,白金台,東京都,港区,21,1.首都圏,東京地下鉄,南北線,目黒,東京都,品川区,5,7
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,上野広小路,東京都,台東区,17,1.首都圏,東京地下鉄,東西線,中野,東京都,中野区,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,月島,東京都,中央区,9,1.首都圏,東京地下鉄,南北線,駒込,東京都,豊島区,30,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,23,1.首都圏,東京地下鉄,有楽町線,永田町,東京都,千代田区,20,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,赤坂見附,東京都,港区,14,1.首都圏,東京地下鉄,銀座線,外苑前,東京都,港区,10,10
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,22,1.首都圏,東京地下鉄,銀座線,末広町,東京都,千代田区,15,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,東京,東京都,千代田区,9,1.首都圏,東京地下鉄,丸ノ内線（１）,西新宿,東京都,新宿区,30,3
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,永田町,東京都,千代田区,20,1.首都圏,東京地下鉄,半蔵門線,水天宮前,東京都,中央区,20,5
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿三丁目,東京都,新宿区,14,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿,東京都,新宿区,5,13
1.首都圏,pasmo,1.首都圏,東京地下鉄,副都心線,北参道,東京都,渋谷区,14,1.首都圏,東京地下鉄,副都心線,西早稲田,東京都,新宿区,15,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,神田,東京都,千代田区,9,1.首都圏,東京地下鉄,銀座線,新橋,東京都,港区,15,3
1.首都圏,pasmo,1.首都圏,東京地下鉄,千代田線,乃木坂,東京都,港区,7,1.首都圏,東京地下鉄,丸ノ内線（１）,四ツ谷,東京都,新宿区,15,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,八丁堀,東京都,中央区,16,1.首都圏,東京地下鉄,銀座線,赤坂見附,東京都,港区,20,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,豊洲,東京都,江東区,15,1.首都圏,東京地下鉄,有楽町線,要町,東京都,豊島区,40,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,田原町,東京都,台東区,10,1.首都圏,東京地下鉄,東西線,東陽町,東京都,江東区,30,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿御苑前,東京都,新宿区,14,1.首都圏,東京地下鉄,銀座線,渋谷,東京都,渋谷区,25,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,大手町,東京都,千代田区,21,1.首都圏,東京地下鉄,千代田線,赤坂,東京都,港区,15,3
1.首都圏,Suica,1.首都圏,東京地下鉄,半蔵門線,錦糸町,東京都,墨田区,12,1.首都圏,東京地下鉄,銀座線,渋谷,東京都,渋谷区,0,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,浅草,東京都,台東区,14,1.首都圏,東京地下鉄,銀座線,浅草,東京都,台東区,20,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,南北線,白金高輪,東京都,港区,15,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,0,1
1.首都圏,Suica,1.首都圏,東京地下鉄,半蔵門線,半蔵門,東京都,千代田区,22,1.首都圏,東京地下鉄,丸ノ内線（１）,新高円寺,東京都,杉並区,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,築地,東京都,中央区,15,1.首都圏,東京地下鉄,日比谷線,恵比寿,東京都,渋谷区,30,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿三丁目,東京都,新宿区,19,1.首都圏,東京地下鉄,丸ノ内線（１）,本郷三丁目,東京都,文京区,30,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,虎ノ門,東京都,港区,19,1.首都圏,東京地下鉄,南北線,白金台,東京都,港区,20,1
1.首都圏,Suica,1.首都圏,東京地下鉄,千代田線,新御茶ノ水,東京都,千代田区,5,1.首都圏,東京地下鉄,丸ノ内線（１）,大手町,東京都,千代田区,0,2
